"faze_rozpoctu";"rok";"kap_kod";"kap_zkr";"platy_a_oppp";"oppp";"platy";"pocet_zamestnancu";"prumerny_plat";"poradi_prumerneho_platu";"platy_schv_schv";"platy_skut_rozp";"platy_skut_skut";"kategorie";"kap_nazev_cc";"kap_nazev";"kategorie_2014";"ceny_index";"ceny_inflace";"ceny_deflator_2003";"ceny_deflator_2024";"prumerna_mzda_cr";"prumerna_mzda_pha";"prumerny_plat_skut_skut";"mzda_prumer_skut_ke_skut";"plat_base";"prumerny_plat_real_od2024";"prumerny_plat_c2024";"prumerny_plat_c2024_mezirocne";"prumerny_plat_2003";"prumerny_plat_nomi_od2024";"prumerny_plat_vucinh";"prumerny_plat_vucinh_mezirocne";"kategorie_2014_cz";"date"
"SCHV";"2003";"333";"MŠMT";"43405775000,00";"516148000,00";"42889627000,00";"237629";"15040,82238840100";NA;NA;NA;NA;"PO";"ministerstvo_skolstvi_mladeze_a_telovychovy";"Ministerstvo školství, mládeže a tělovýchovy";"Prispevkove organizace";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"42889627000,00";"0,00000000000000000000";"29530,43031905344";NA;"29530,43031905344";"0,0000000000000000000";"0,915448715057882";NA;"Příspěvkové organizace";"2003-01-01"
"SCHV";"2003";"347";"KCP";"48885000,00";"6247000,00";"42638000,00";"146";"24336,75799086760";NA;NA;NA;NA;"ROPO";"komise_pro_cenne_papiry";"Komise pro cenné papíry";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"42638000,00";"0,00000000000000000000";"47781,62506560823";NA;"47781,62506560823";"0,0000000000000000000";"1,481239074307219";NA;NA;"2003-01-01"
"SKUT";"2003";"333";"MŠMT";"44019088110,00";"755958090,00";"43263130020,00";"229185";"15730,78881689470";NA;NA;NA;NA;"PO";"ministerstvo_skolstvi_mladeze_a_telovychovy";"Ministerstvo školství, mládeže a tělovýchovy";"Prispevkove organizace";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"43263130020,00";"0,00000000000000000000";"30885,07735981844";NA;"30885,07735981844";"0,0000000000000000000";"0,957443019896208";NA;"Příspěvkové organizace";"2003-01-01"
"SKUT";"2003";"347";"KCP";"47767680,00";"5134830,00";"42632850,00";"135";"26316,57407407410";NA;NA;NA;NA;"ROPO";"komise_pro_cenne_papiry";"Komise pro cenné papíry";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"42632850,00";"0,00000000000000000000";"51668,70114296135";NA;"51668,70114296135";"0,0000000000000000000";"1,601739140235794";NA;NA;"2003-01-01"
"UPRAV";"2003";"333";"MŠMT";"43543918000,00";"570875000,00";"42973043000,00";"237246";"15094,40376936460";NA;NA;NA;NA;"PO";"ministerstvo_skolstvi_mladeze_a_telovychovy";"Ministerstvo školství, mládeže a tělovýchovy";"Prispevkove organizace";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"42973043000,00";"0,00000000000000000000";"29635,62943623499";NA;"29635,62943623499";"0,0000000000000000000";"0,918709906838990";NA;"Příspěvkové organizace";"2003-01-01"
"UPRAV";"2003";"347";"KCP";"48885000,00";"6247000,00";"42638000,00";"146";"24336,75799086760";NA;NA;NA;NA;"ROPO";"komise_pro_cenne_papiry";"Komise pro cenné papíry";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"42638000,00";"0,00000000000000000000";"47781,62506560823";NA;"47781,62506560823";"0,0000000000000000000";"1,481239074307219";NA;NA;"2003-01-01"
"SCHV";"2003";"328";"ČTÚ";"122127000,00";"853000,00";"121274000,00";"486";"20794,58161865570";NA;NA;NA;NA;"OSS";"cesky_telekomunikacni_urad";"Český telekomunikační úřad";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"121274000,00";"0,00000000000000000000";"40827,08562379774";NA;"40827,08562379774";"0,0000000000000000000";"1,265647085736805";NA;NA;"2003-01-01"
"SCHV";"2003";"315";"MŽP";"332195000,00";"2637000,00";"329558000,00";"1319";"20821,20293151380";NA;NA;NA;NA;"SS";"ministerstvo_zivotniho_prostredi";"Ministerstvo životního prostředí";"Statni sprava";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"329558000,00";"0,00000000000000000000";"40879,35263447423";NA;"40879,35263447423";"0,0000000000000000000";"1,267267372581485";NA;"Státní správa";"2003-01-01"
"SKUT";"2003";"328";"ČTÚ";"125590000,00";"1024000,00";"124566000,00";"477";"21762,05450733750";NA;NA;NA;NA;"OSS";"cesky_telekomunikacni_urad";"Český telekomunikační úřad";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"124566000,00";"0,00000000000000000000";"42726,57555772737";NA;"42726,57555772737";"0,0000000000000000000";"1,324531619436245";NA;NA;"2003-01-01"
"SKUT";"2003";"315";"MŽP";"338214590,00";"2421660,00";"335792930,00";"1274";"21964,47736787020";NA;NA;NA;NA;"SS";"ministerstvo_zivotniho_prostredi";"Ministerstvo životního prostředí";"Statni sprava";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"335792930,00";"0,00000000000000000000";"43124,00290734851";NA;"43124,00290734851";"0,0000000000000000000";"1,336851939614741";NA;"Státní správa";"2003-01-01"
"SKUT";"2003";"338";"MI";"50003000,00";"3633000,00";"46370000,00";"143";"27022,14452214450";NA;NA;NA;NA;"UO";"ministerstvo_informatiky";"Ministerstvo informatiky";"Ministerstva";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"46370000,00";"0,00000000000000000000";"53053,98436843140";NA;"53053,98436843140";"0,0000000000000000000";"1,251604655958522";NA;"Ministerstva";"2003-01-01"
"UPRAV";"2003";"328";"ČTÚ";"124927000,00";"1024000,00";"123903000,00";"486";"21245,37037037040";NA;NA;NA;NA;"OSS";"cesky_telekomunikacni_urad";"Český telekomunikační úřad";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"123903000,00";"0,00000000000000000000";"41712,14266904214";NA;"41712,14266904214";"0,0000000000000000000";"1,293084015238612";NA;NA;"2003-01-01"
"UPRAV";"2003";"315";"MŽP";"338440000,00";"2647000,00";"335793000,00";"1319";"21215,12509476880";NA;NA;NA;NA;"SS";"ministerstvo_zivotniho_prostredi";"Ministerstvo životního prostředí";"Statni sprava";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"335793000,00";"0,00000000000000000000";"41652,76054347948";NA;"41652,76054347948";"0,0000000000000000000";"1,291243158537358";NA;"Státní správa";"2003-01-01"
"UPRAV";"2003";"338";"MI";"50003000,00";"3633000,00";"46370000,00";"165";"23419,19191919190";NA;NA;NA;NA;"UO";"ministerstvo_informatiky";"Ministerstvo informatiky";"Ministerstva";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"46370000,00";"0,00000000000000000000";"45980,11978597388";NA;"45980,11978597388";"0,0000000000000000000";"1,084724035164053";NA;"Ministerstva";"2003-01-01"
"UPRAV";"2003";"307";"MO";"12411383000,00";"1086767000,00";"11324616000,00";"45492";"20744,70236525100";NA;NA;NA;NA;"OSS";"ministerstvo_obrany";"Ministerstvo obrany                                      ";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"11324616000,00";"0,00000000000000000000";"40729,15508655731";NA;"40729,15508655731";"0,0000000000000000000";"1,262611221256908";NA;NA;"2003-01-01"
"SCHV";"2003";"302";"KSněm";"279408000,00";"154429000,00";"124979000,00";"335";"31089,30348258710";NA;NA;NA;NA;"ROPO";"parlament";"Parlament";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"124979000,00";"0,00000000000000000000";"61039,24948069581";NA;"61039,24948069581";"0,0000000000000000000";"1,892227844344924";NA;NA;"2003-01-01"
"SCHV";"2003";"313";"MPSV";"2617768000,00";"3725000,00";"2614043000,00";"13667";"15938,89783176020";NA;NA;NA;NA;"OSS_SS";"ministerstvo_prace_a_socialnich_veci";"Ministerstvo práce a sociálních věcí";"Neustredni st. sprava";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"2614043000,00";"0,00000000000000000000";"31293,66863252649";NA;"31293,66863252649";"0,0000000000000000000";"0,970109423722471";NA;"Neústřední st. správa";"2003-01-01"
"SCHV";"2003";"307";"MO";"11873891000,00";"1026347000,00";"10847544000,00";"45441";"19893,09214145820";NA;NA;NA;NA;"OSS";"ministerstvo_obrany";"Ministerstvo obrany                                      ";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"10847544000,00";"0,00000000000000000000";"39057,14435979676";NA;"39057,14435979676";"0,0000000000000000000";"1,210778584385770";NA;NA;"2003-01-01"
"SKUT";"2003";"302";"KSněm";"266943280,00";"142287990,00";"124655290,00";"319";"32564,07784743990";NA;NA;NA;NA;"ROPO";"parlament";"Parlament";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"124655290,00";"0,00000000000000000000";"63934,75083647254";NA;"63934,75083647254";"0,0000000000000000000";"1,981988913416914";NA;NA;"2003-01-01"
"SKUT";"2003";"313";"MPSV";"2663629980,00";"3628790,00";"2660001190,00";"13410";"16529,96016654240";NA;NA;NA;NA;"OSS_SS";"ministerstvo_prace_a_socialnich_veci";"Ministerstvo práce a sociálních věcí";"Neustredni st. sprava";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"2660001190,00";"0,00000000000000000000";"32454,13211256619";NA;"32454,13211256619";"0,0000000000000000000";"1,006084002832769";NA;"Neústřední st. správa";"2003-01-01"
